date       aa (FINAL)  dst (FINAL) 
1984-04-06      20        -55
1984-04-27      40        -57
1984-11-17      45        -60
1985-01-29      30        -58
1985-10-06      47        -51
1986-02-10      16       -102
1986-02-11      42        -80
1986-02-12      31        -74
1986-02-13      29        -62
1986-02-23      49        -54
1986-03-06      43        -50
1986-03-07      46        -58
1986-05-03      41        -53
1986-09-13      34        -60
1986-10-14      44        -51
1986-11-05      29        -50
1986-11-26      24        -54
1987-10-25      35        -54
1987-11-24      35        -50
1988-02-23      42        -73
1988-03-27      44        -77
1988-03-28      44        -65
1988-04-05      34        -57
1988-05-07      26        -55
1988-09-11      41        -61
1988-09-12      23        -56
1988-10-11      23        -80
1988-10-12      14        -55
1988-10-18      48        -50
1988-12-01       8        -56
1988-12-18      42        -55
1988-12-26      45        -54
1989-01-12      25        -71
1989-01-17      46        -56
1989-01-21      43        -71
1989-03-03      48        -60
1989-03-10      29        -54
1989-03-17      47        -96
1989-03-18      25        -64
1989-03-20      21        -65
1989-03-21      31        -57
1989-03-24      24        -60
1989-04-02      41        -54
1989-04-05      48        -74
1989-04-07      43        -57
1989-04-15      36        -70
1989-06-07      49        -58
1989-06-09      41        -55
1989-06-11      32        -60
1989-06-15      48        -58
1989-08-16      31        -62
1989-08-22      18        -52
1989-08-30      29        -51
1989-09-16      27        -89
1989-09-20      11        -71
1989-09-27      14        -65
1989-10-23      33        -79
1989-10-24      29        -50
1989-10-25      28        -62
1989-11-14      20        -76
1989-11-19      17        -67
1989-12-02      39        -59
1989-12-05      24        -53
1989-12-31      46        -78
1990-01-01      31        -50
1990-02-05      38        -50
1990-02-07      46        -51
1990-02-18      40        -50
1990-02-24      41        -69
1990-02-25      43        -71
1990-02-26      34        -54
1990-02-27      41        -51
1990-02-28      40        -55
1990-03-13      44        -94
1990-03-22      40        -74
1990-03-23      42        -62
1990-03-27      46        -57
1990-03-28      33        -53
1990-03-29      40        -53
1990-03-31      13        -69
1990-04-13      48        -91
1990-04-15      30        -65
1990-04-18      36        -68
1990-04-21      22        -50
1990-04-24      39        -74
1990-04-25      30        -53
1990-04-29      47        -67
1990-04-30      30        -56
1990-05-11      32        -58
1990-05-22      48        -63
1990-05-23      19        -53
1990-06-15      20        -53
1990-08-24      30        -61
1990-10-12      42        -52
1990-11-28      30        -64
1991-02-02      23        -57
1991-03-28      38        -63
1991-04-03      42        -52
1991-04-27      26        -54
1991-04-28      42        -54
1991-04-30      44        -57
1991-06-06      47       -114
1991-06-07      39        -66
1991-06-14      17        -61
1991-06-24      44        -52
1991-07-10      26        -75
1991-07-15      17        -67
1991-07-20      42        -50
1991-08-06      43        -63
1991-08-13      16        -54
1991-08-15      48        -55
1991-08-21      47        -69
1991-09-02      41        -57
1991-09-10      43        -64
1991-10-03      29        -62
1991-10-21      48        -54
1991-10-22      35        -58
1991-10-26      47        -59
1991-10-30      45       -107
1991-11-02      48       -123
1991-11-03      35        -54
1991-11-05      38        -61
1991-11-10      36        -87
1991-11-16      48        -64
1991-11-17      40        -58
1991-11-20      30        -67
1991-11-23      48        -67
1991-11-24      26        -51
1991-12-28      43        -57
1992-01-11      40        -58
1992-01-13      45        -54
1992-02-04      44        -77
1992-02-05      10        -64
1992-02-10      44        -76
1992-02-22      41        -90
1992-02-23      25        -62
1992-02-24      49        -56
1992-02-28      13        -79
1992-03-01      23        -65
1992-03-23      39        -51
1992-04-04      23        -54
1992-05-12      22        -78
1992-05-13      32        -80
1992-05-14       6        -53
1992-05-23      25        -52
1992-06-30      47        -58
1992-09-11      44        -82
1992-09-18      44        -54
1992-10-12      48        -57
1992-11-23      44        -50
1993-03-12      40        -55
1993-08-17      28        -53
1993-09-14      42        -65
1993-12-03      47        -70
1993-12-08      36        -70
1994-02-23      22        -50
1994-04-18      33        -50
1994-10-24      42        -52
1994-11-01      32        -50
1994-11-27      41        -56
1995-01-18      39        -66
1995-04-08      47        -76
1995-04-09      36        -53
1995-05-17      48        -51
1995-09-28      21        -58
1995-10-19      40        -64
1996-01-13      44        -52
1996-10-23      44        -57
total number of days = 14610
